sitzung,titel
206, Kandidatur für die Schlichtungskommission
206, Kandidatur für das Referat für Lehre und Lernen
206, Kandidatur für die Schlichtungskommission
206, Kandidatur Wahlkommission
206, Bericht: Vorsitzende der Verfassten Studierendenschaft
206, Bericht zur Lage des Fachrates Lehramt
206, Bericht
206, Bericht: Referat für alle Angelegenheiten des Studierendenwerks
206, Bericht des Gremienreferats
206, Bericht
206, Bericht: AK LeLe und LeLe Referat
206, Bericht: Referat für internationale Studierende
206, Bericht Finanzreferat
206, Bericht des Referats für Verkehr und Kommunales
206, Finanzierung des Vereinsausflug an die Kunsthalle Mannheim mit Führung und anschließendem Essen.
206, Grundfinanzierung des JazzLab Heidelberg
206, Wiederaufnahme der Probe-Flatrate mit dem Taeter-Theater
206, „Mitgliedschaft im Bundesverband Promovierende e.V.“
206, Cooler Merch für die VS
206, Änderungsantrag zu Cooler Merch für die VS: der exekutive Cockblock
206, Aufnehmen von Lecktüchern in den Änderungsantrag
206, Antragsänderung Cooler Merch für die VS: Der StuRa rettet Leben
206, Kondome zu Samen! (zusamen)
206, Studierendenrat fordert konsequente Mülltrennung an der Universität
206, Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni-Gebäuden
206, Änderungsantrag zum Antrag „Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni Gebäuden“
206, Studierendenrat fordert Interimslösung für den Marstall
206, Gründung AK Im Neuenheimer Feld
206, Änderungsantrag zum Antrag „Gründung AK Im Neuenheimer Feld“
206, Gründung eines Nachhaltigkeitsnetzwerk
206, Forderung nach einem Green Offices
206, Transparenz zur Nachhaltigkeitsstrategie
206, Der Studierendenrat fordert einen Boykott der Coca-Cola Company
206, Zum Sozialismus! Zur Koka Kola Freiheit!
206, Mehr Fahrradstellplätze
206, Stoppt die massive Preiserhöhung beim Cappuccino!
206, Ausweitung der Leistungen des Studierendenwerks
206, Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
206, Positionierung: Unterstützung des langfristigen Ziels rein pflanzlicher Verpflegung an der Universität Heidelberg
206, Positionierung: Forderung einer inklusiveren Mensa
206, Positionierung: MLP aus dem TeM(L)Pel schmeißen!
206, Änderungsantrag: MLP aus dem TeM(L)Pel schmeißen!
206, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
206, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
206, Positionierung: Mehr Feld in die Feldmensa
206, Positionierung: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
206, Änderungsantrag: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
206," Änderungsantrag: Aufhebung des Beschlusses ""Positionierung des StuRa zur Zivilklausel"" vom 03.07.2018"
206, Positionierung: Bar an den Pool statt auf/an dem Trockenen zu sitzen
206, Positionierung: Ja zur Zivilklausel! Nein zur Zivilklausel!
206," Positionierung: Männern, die Sexismus wagen, Mikros aus den Händen schlagen!"
206, Positionierung: Klarheit schaffen um den Neubau des Ostflügels am Campus Bergheim!
206, Satzungsänderung: Konstruktive Debatten im StuRa zulassen
206, Satzungsänderung: CVE 1 (Wahlordnung)
206, Satzungsänderung: Geschäftsordnung des Studierendenrats
206, Änderungsantrag: Geschäftsordnungsänderung des Präsidiums
206, Satzungsänderung: Bewirtungsfaschorichtlinie
206," Änderungsanträge zulassen, inhaltliche Arbeit  ermöglichen!"
206, „Rechtssicherheit für Beitragsänderungen“
206, Neue Amtszeiten für den Vorsitz
206, Änderungsantrag: Neue Amtszeiten für den Vorsitz
206, Änderungsantrag: Neue Amtszeiten für den Vorsitz
206, Satzungsänderung: Wahlordnung
206, Satzung zur Benennung der studentischen Mitglieder im Fachrat Lehramt
206, Kritik an der Exekutive / zentralen VS
206, Diskussion Causa Lemmermeyer
206, Wurftraining für StuRa-Mitglieder
206, Sonstiger Antrag: Verfahrensantrag für die Anträge im Senat
207, Eröffnung der 207. StuRa-Sitzung
207, Grußwort des Oberbürgermeisters
207, Information zu vertagten TOPs der letzten Sitzung
207," Aufnahme von ,,Fortsetzung der Kooperation mit Nextbike 2025"" auf TO vor 4.1"
207, Aufnahme von HeArtBlicke – Erzählen gegen das Unsichtbare
207, Beschluss der Tagesordnung
207," Wahl des Autonomen Enthinderungsreferates, Kultur- und Sportreferates, Wahlkommission"
207, Kultur- und Sportreferat
207, Autonomes Enthinderungsreferat
207, Wahlkommission
207, Beschluss des Protokolls der 203. Sitzung
207, Beschluss des Protokolls der 204. Sitzung
207, Beschluss des Protokolls der 205. Sitzung
207, Termine WiSe 25/26
207, Fortsetzung der Kooperation mit Nextbike 2025
207, Auftakttreffen - AK Awareness
207, Bericht: Referat für alle Angelegenheiten des Studierendenwerks
207, Neufassung der Satzung der Studienfachschaft Mathematik
207, Neufassung der Satzung der Studienfachschaft Physik
207, Neufassung der Satzung der Studienfachschaft Informatik
207, Kandidatur für das Referat für Politische Bildung
207, Kandidatur für die Schlichtungskommission
207, Kandidatur für die Schlichtungskommission
207, Kandidatur für die Schlichtungskommission
207, Kandidatur für das Referat für Lehre und Lernen
207, Kandidatur Wahlkommission
207, Kandidatur für Senatsausschuss für Gleichstellungsangelegenheiten
207, Kandidatur für VS Mitglied im Senat - Stellvertretung
207, Kandidaturen für das Anti-Antisemitismus-Referat
207, Kandidatur Anti-Antisemitismusreferat
207, Kandidatur Anti-Antisemitismusreferat
207, Kandidatur Anti-Antisemitismusreferat
207, Kandidatur Anti-Antisemitismusreferat
207, Kandidatur für Senatausschuss Lehre (SAL)
207, Spontankandidatur: Schlichtungskommission
207, Spontankandidatur: Schlichtungskommission
207, Spontankandidatur: Schlichtungskommission
207, Kandidatur: Stellvertretendes Mitglied für den Notlagenausschuss
207, Spontankandidatur für Senatausschuss Lehre (SAL)
207, Finanzierung des Vereinsausflug an die Kunsthalle Mannheim mit Führung und anschließendem Essen.
207, Grundfinanzierung des JazzLab Heidelberg
207, Wiederaufnahme der Probe-Flatrate mit dem Taeter-Theater
207, HeArtBlicke – Erzählen gegen das Unsichtbare
207, Sonstiger Antrag: Verfahrensantrag für die Anträge im Senat
207, ÄA
207, Positionierung: Klarheit schaffen um den Neubau des Ostflügels am Campus Bergheim!
207, Bericht: Vorsitzende der Verfassten Studierendenschaft
207, Bericht
207, Bericht des Gremienreferats
207, Bericht: AK LeLe und LeLe Referat
207, Bericht: Referat für internationale Studierende
207, Bericht Finanzreferat
207, Bericht des Referats für Verkehr und Kommunales
207, Bericht: Innenreferat
207, Bericht zur Arbeit des Kulturreferates
207, „Mitgliedschaft im Bundesverband Promovierende e.V.“
207, Cooler Merch für die VS
207, Änderungsantrag zu Cooler Merch für die VS: der exekutive Cockblock
207, Aufnehmen von Lecktüchern in den Änderungsantrag
207, Antragsänderung Cooler Merch für die VS: Der StuRa rettet Leben
207, Kondome zu Samen! (zusamen)
207, Studierendenrat fordert konsequente Mülltrennung an der Universität
207, Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni-Gebäuden
207, Änderungsantrag zum Antrag „Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni Gebäuden“
207, Studierendenrat fordert Interimslösung für den Marstall
207, Gründung AK Im Neuenheimer Feld
207, Änderungsantrag zum Antrag „Gründung AK Im Neuenheimer Feld“
207, Gründung eines Nachhaltigkeitsnetzwerk
207, Forderung nach einem Green Offices
207, Transparenz zur Nachhaltigkeitsstrategie
207, Der Studierendenrat fordert einen Boykott der Coca-Cola Company
207, Zum Sozialismus! Zur Koka Kola Freiheit!
207, Mehr Fahrradstellplätze
207, Stoppt die massive Preiserhöhung beim Cappuccino!
207, Ausweitung der Leistungen des Studierendenwerks
207, Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
207, Positionierung: Unterstützung des langfristigen Ziels rein pflanzlicher Verpflegung an der Universität Heidelberg
207, Positionierung: Forderung einer inklusiveren Mensa
207, Positionierung: MLP aus dem TeM(L)Pel schmeißen!
207, Änderungsantrag: MLP aus dem TeM(L)Pel schmeißen!
207, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
207, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
207, Positionierung: Mehr Feld in die Feldmensa
207, Positionierung: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
207, Änderungsantrag: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
207," Änderungsantrag: Aufhebung des Beschlusses ""Positionierung des StuRa zur Zivilklausel"" vom 03.07.2018"
207, Positionierung: Bar an den Pool statt auf/an dem Trockenen zu sitzen
207, Positionierung: Ja zur Zivilklausel! Nein zur Zivilklausel!
207," Positionierung: Männern, die Sexismus wagen, Mikros aus den Händen schlagen!"
207, Satzungsänderung: Konstruktive Debatten im StuRa zulassen
207, Satzungsänderung: CVE 1 (Wahlordnung)
207, Satzungsänderung: Geschäftsordnung des Studierendenrats
207, Änderungsantrag: Geschäftsordnungsänderung des Präsidiums
207, Satzungsänderung: Bewirtungsfaschorichtlinie
207," Änderungsanträge zulassen, inhaltliche Arbeit  ermöglichen!"
207, „Rechtssicherheit für Beitragsänderungen“
207, Neue Amtszeiten für den Vorsitz
207, Änderungsantrag: Neue Amtszeiten für den Vorsitz
207, Änderungsantrag: Neue Amtszeiten für den Vorsitz
207, Satzungsänderung: Wahlordnung
207, Satzung zur Benennung der studentischen Mitglieder im Fachrat Lehramt
207, Änderung der Satzung der Studienfachschaft Chemie und Biochemie
207, Kritik an der Exekutive / zentralen VS
207, Diskussion Causa Lemmermeyer
207, Wurftraining für StuRa-Mitglieder
208, Eröffnung der 207. StuRa-Sitzung
208, Antrag zur Aufnahme auf die Tagesordnung: Positionierung: Einbindung der Ergebnisse der Mensaumfrage in das neue Mensakonzept des Studierendenwerks
208, Beschluss der Tagesordnung
208, Stefan Behrens
208, Besuch der Rektorin
208, Neufassung der Satzung der Studienfachschaft Mathematik
208, Neufassung der Satzung der Studienfachschaft Physik
208, Neufassung der Satzung der Studienfachschaft Informatik
208, Beschluss des Protokolls der 206. Sitzung
208, Beschluss des Protokolls der 207. Sitzung
208, Beschluss des nicht-öffentlichen Protokolls der 205. Sitzung
208, Beschluss des nicht-öffentlichen Protokolls der 206. Sitzung
208, Beschluss des nicht-öffentlichen Protokolls der 207. Sitzung
208, Antrag zur Aufnahme auf die Tagesordnung: Positionierung: Einbindung der Ergebnisse der Mensaumfrage in das neue Mensakonzept des Studierendenwerks
208, Finanzierung des Vereinsausflug an die Kunsthalle Mannheim mit Führung und anschließendem Essen.
208, HeArtBlicke – Erzählen gegen das Unsichtbare
208, Kandidatur für das Referat für Politische Bildung
208, Kandidaturen Anti-Antisemitismusreferat (nicht-öffentlicher Tagessordnungpunkt)
208, Marc Vélez Kessel
208, Ronja Bilger
208, Martha Lena Fiedelak
208, Gideon Ballhorn
208, Kandidatur für die Schlichtungskommission
208, Kandidatur für die Schlichtungskommission
208, Kandidatur für das Referat für Lehre und Lernen
208, Kandidatur Wahlkommission
208, Kandidatur für Senatsausschuss für Gleichstellungsangelegenheiten
208, Kandidatur für VS Mitglied im Senat - Stellvertretung
208, Kandidatur von Aaron Henning für die Schlichtungskommission
208, Notlagenausschuss Fakultät für Mathematik und Informatik/Philosophische Fakultät
208, Kandidatur für die Schlichtungskomission
208, Kandidatur für Senatausschuss Lehre (SAL)
208, Kandidatur für die Schlichtungskommission
208, Kandidatur für SAL (Spontan)
208, Kandidatur für SAL - stellv. (Spontan)
208, Kandidatur für SAL (Spontan)
208, Bericht: Vorsitzende der Verfassten Studierendenschaft
208, Bericht zur Arbeit des Kulturreferates
208, Bericht: Innenreferat
208, Bericht
208, Bericht: AK LeLe und LeLe Referat
208, Bericht des Referats für Verkehr und Kommunales
208, Bericht: Jana Seifert (VS-Mitglied im Senat)
208, Cooler Merch für die VS
208, Änderungsantrag zu Cooler Merch für die VS: der exekutive Cockblock
208, Aufnehmen von Lecktüchern in den Änderungsantrag
208, Antragsänderung Cooler Merch für die VS: Der StuRa rettet Leben
208, Kondome zu Samen! (zusamen)
208, Studierendenrat fordert konsequente Mülltrennung an der Universität
208, Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni-Gebäuden
208, Änderungsantrag zum Antrag „Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni Gebäuden“
208, Gründung AK Im Neuenheimer Feld
208, Änderungsantrag zum Antrag „Gründung AK Im Neuenheimer Feld“
208, Gründung eines Nachhaltigkeitsnetzwerk
208, Forderung nach einem Green Offices
208, Transparenz zur Nachhaltigkeitsstrategie
208, Der Studierendenrat fordert einen Boykott der Coca-Cola Company
208, Zum Sozialismus! Zur Koka Kola Freiheit!
208, Unterstützung AK Im Neuenheimer Feld
208, Mehr Fahrradstellplätze
208, Stoppt die massive Preiserhöhung beim Cappuccino!
208, Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
208, Änderungsantrag: Stärkung von pflanzlicher Verpflegung an der Universität
208, Änderungsantrag: Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
208, Positionierung: Unterstützung des langfristigen Ziels rein pflanzlicher Verpflegung an der Universität Heidelberg
208, Positionierung: Forderung einer inklusiveren Mensa
208, Ausweitung der Leistungen des Studierendenwerks
208, Positionierung: MLP aus dem TeM(L)Pel schmeißen!
208, Änderungsantrag: MLP aus dem TeM(L)Pel schmeißen!
208, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
208, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
208, Positionierung: Mehr Feld in die Feldmensa
208, Positionierung: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
208, Änderungsantrag: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
208," Änderungsantrag: Aufhebung des Beschlusses ""Positionierung des StuRa zur Zivilklausel"" vom 03.07.2018"
208, Positionierung: Bar an den Pool statt auf/an dem Trockenen zu sitzen
208, Positionierung: Ja zur Zivilklausel! Nein zur Zivilklausel!
208," Positionierung: Männern, die Sexismus wagen, Mikros aus den Händen schlagen!"
208, Positionierung: Klarheit schaffen um den Neubau des Ostflügels am Campus Bergheim!
208, Satzungsänderung: Konstruktive Debatten im StuRa zulassen
208, Satzungsänderung: CVE 1 (Wahlordnung)
208, Satzungsänderung: Geschäftsordnung des Studierendenrats
208, Änderungsantrag: Geschäftsordnungsänderung des Präsidiums
208, Satzungsänderung: Bewirtungsfaschorichtlinie
208," Änderungsanträge zulassen, inhaltliche Arbeit  ermöglichen!"
208, „Rechtssicherheit für Beitragsänderungen“
208, Neue Amtszeiten für den Vorsitz
208, Änderungsantrag: Neue Amtszeiten für den Vorsitz
208, Änderungsantrag: Neue Amtszeiten für den Vorsitz
208, Satzungsänderung: Wahlordnung
208, Satzung zur Benennung der studentischen Mitglieder im Fachrat Lehramt
208, Änderung der Satzung der Studienfachschaft Chemie und Biochemie
208, Kritik an der Exekutive / zentralen VS
208, Diskussion Causa Lemmermeyer
208, Wurftraining für StuRa-Mitglieder
209," Antrag auf Dringlichkeit für ,,Forderungen nach einem fairen praktischen Jahr"""
209," Aufnahme des Antrags: ,,Unterschrift des Finanzreferats für unseren gesamten Antrag zu Hygieneproduktenspendern"" auf die TO"
209, Positionierung: Unterschrift des Finanzreferats für unseren gesamten Antrag zu Hygieneproduktenspendern
209, Beschluss der Tagesordnung
209, Infokasten
209, Rabea Freis
209, Neufassung der Satzung der Studienfachschaft Mathematik
209, Neufassung der Satzung der Studienfachschaft Physik
209, Neufassung der Satzung der Studienfachschaft Informatik
209, Finanzierung des Vereinsausflug an die Kunsthalle Mannheim mit Führung und anschließendem Essen.
209, Fortsetzung der Kooperation mit Nextbike 2025
209, Eröffnung der 209. StuRa-Sitzung
209, Infokasten
209, Infokasten
209, Kandidatur für Senatausschuss Lehre (SAL)
209, Kandidatur für Senatausschuss Lehre (SAL)
209, Kandidatur Stellvertretung für Senatausschuss Lehre (SAL)
209, Kandidatur für die Schlichtungskomission
209, Cooler Merch für die VS
209, Änderungsantrag zu Cooler Merch für die VS: der exekutive Cockblock
209, Aufnehmen von Lecktüchern in den Änderungsantrag
209, Antragsänderung Cooler Merch für die VS: Der StuRa rettet Leben
209, Kondome zu Samen! (zusamen)
209, Studierendenrat fordert konsequente Mülltrennung an der Universität
209, Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni-Gebäuden
209, Änderungsantrag zum Antrag „Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni Gebäuden“
209, Gründung eines Nachhaltigkeitsnetzwerk
209, Forderung nach einem Green Offices
209, Der Studierendenrat fordert einen Boykott der Coca-Cola Company
209, Zum Sozialismus! Zur Koka Kola Freiheit!
209, Änderungsantrag
209, Mehr Fahrradstellplätze
209, Stoppt die massive Preiserhöhung beim Cappuccino!
209, Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
209, Änderungsantrag: Stärkung von pflanzlicher Verpflegung an der Universität
209, Änderungsantrag: Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
209, Positionierung: Unterstützung des langfristigen Ziels rein pflanzlicher Verpflegung an der Universität Heidelberg
209, Positionierung: Forderung einer inklusiveren Mensa
209, Ausweitung der Leistungen des Studierendenwerks
209, Positionierung: MLP aus dem TeM(L)Pel schmeißen!
209, Änderungsantrag: MLP aus dem TeM(L)Pel schmeißen!
209, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
209, Änderungsantrag: Positionierung: MLP aus dem TeM(L)Pel schmeißen!
209, Positionierung: Mehr Feld in die Feldmensa
209, Positionierung: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
209, Änderungsantrag: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
209," Änderungsantrag: Aufhebung des Beschlusses ""Positionierung des StuRa zur Zivilklausel"" vom 03.07.2018"
209, Positionierung: Bar an den Pool statt auf/an dem Trockenen zu sitzen
209, Positionierung: Ja zur Zivilklausel! Nein zur Zivilklausel!
209," Positionierung: Männern, die Sexismus wagen, Mikros aus den Händen schlagen!"
209, Positionierung: Klarheit schaffen um den Neubau des Ostflügels am Campus Bergheim!
209, Einbindung der Ergebnisse der Mensaumfrage in das neue Mensakonzept des Studierendenwerks
209, Positionierung: Ende der Vergütungspflicht bei Praktika der Stadt Heidelberg
209, Forderungen nach einem fairen praktischen Jahr
209, Bericht: Jana Seifert (VS-Mitglied im Senat)
209, Bericht: Referat für IT und Infrastruktur
209, Bericht: Wahlkommission
209, Bericht des autonomen Enthinderungsreferats
209, Bericht des Queerreferates
209, Bericht: Vorsitz
209, Bericht des Sozialreferates
209, Bericht des Notlagenausschusses
209, Bericht Referat für Ökologie und Nachhaltigkeit
209, Satzungsänderung: Konstruktive Debatten im StuRa zulassen
209, Satzungsänderung: CVE 1 (Wahlordnung)
209, Satzungsänderung: Geschäftsordnung des Studierendenrats
209, Änderungsantrag: Geschäftsordnungsänderung des Präsidiums
209, Satzungsänderung: Bewirtungsfaschorichtlinie
209," Änderungsanträge zulassen, inhaltliche Arbeit  ermöglichen!"
209, „Rechtssicherheit für Beitragsänderungen“
209, Neue Amtszeiten für den Vorsitz
209, Änderungsantrag: Neue Amtszeiten für den Vorsitz
209, Änderungsantrag: Neue Amtszeiten für den Vorsitz
209, Satzungsänderung: Wahlordnung
209, Satzung zur Benennung der studentischen Mitglieder im Fachrat Lehramt
209, Änderung der Satzung der Studienfachschaft Chemie und Biochemie
209, Antrag zur Änderung der Organisationssatzung
209, Kritik an der Exekutive / zentralen VS
209, Diskussion Causa Lemmermeyer
209, Wurftraining für StuRa-Mitglieder
210, Eröffnung der 210. StuRa-Sitzung
210, Kandidatur Präsidium
210, Kandidatur: Präsidium
210, Beschluss der Tagesordnung
210, Vorbemerkungen zur Sitzung
210, Beschluss des Protokolls der 208. Sitzung
210, Beschluss des Protokolls der 209. Sitzung
210, Sofo-hd.de
210, Die letzten zwei Termine der Probephase der Mietrechtsberatung
210, Treffen zur Zukunft der Fachräte
210, Gespräch mit der HSE zum Thema Fachrat Lehramt
210, How to StuRa
210, QSM-Schulung am 20.11.2025
210, Bericht: Vorsitzende der VS
210, Bericht: Referat für IT und Infrastruktur
210, Bericht: Referat für Ökologie und Nachhaltigkeit
210, Bericht Finanzreferat
210, Bericht:  VS-Mitglied im Senat
210, Bericht: HeiCo-Lenkungsausschuss
210, Bericht: AG Fachrat
210, Bericht: Wahlkommission und AG Wahlen
210, Bericht: Verkehrsreferat
210, Rücksprache der WaKo gem. § 7 Abs. 3 WahlO
210, Kandidatur für das Lehramtsreferat
210, Kandidatur für das Referat für Kultur und Sport
210, Kandidatur Referat für Ökologie und Nachhaltigkeit
210, Kandidatur Referat für Ökologie und Nachhaltigkeit
210, Kandidatur Queerreferat
210, Kandidatur Queerreferat
210, Kandidatur Queerreferat
210, Kandidatur Sozialreferat
210, Kandidatur Sozialreferat
210," Kandidatur SAL, stellvertretendes Mitglied"
210," Kandidatur SAL, stellvertretendes Mitglied"
210, Kandidatur Wahlkommission
210, Kandidatur Notlagenausschuss
210, Kandidatur Notlagenausschuss
210, Kandidatur Notlagenausschuss
210, Kandidatur Referat für internationales Studierende
210, Kandidatur QSM-Referat
210, Neufassung der Satzung der Studienfachschaft Mathematik
210, Neufassung der Satzung der Studienfachschaft Informatik
210, Neufassung der Satzung der Studienfachschaft Physik
210, Änderung der Satzung der Studienfachschaft Chemie und Biochemie
210, Satzung zur Benennung der studentischen Mitglieder im Fachrat Lehramt
210, Änderung der Wahlordnung
210, Konsensfähige Änderung der Organisationssatzung
210, Beschluss der Finanzverwaltungsrichtlinie des StuRa
210, Beschluss einer Referateordnung
210, Änderungen der Finanzordnung
210, Weiterfinanzierung der wöchentlichen offenen Mietrechtsberatungssprechstunde bis Ende des Jahres
210, Positionierung: Einladung der Geschäftsführung des StuWes in den StuRa
210, Positionierung: Wurftraining für Mitglieder des Studierendenrats
211, Begrüßung
211, Für die Sitzung am 4.11.25: Finanzantrag zur Zusatzfinanzierung der Ersti-Fachschaftsfahrt 2025
211, Unterstützung der Fachschaften Medizin Heidelberg und Medizin Mannheim  bei der Demonstration zu einem fairen PJ
211, Positionierung: Handhabung der Qualitätssicherungsmittel
211, Aufnahme auf die TO der 211. Sitzung
211, Beschluss der Tagesordnung
211, Protokolle
211, Weiterfinanzierung der wöchentlichen offenen Mietrechtsberatungssprechstunde bis Ende des Jahres
211, Änderung der Satzung der Studienfachschaft Chemie und Biochemie
211, Neufassung der Satzung der Studienfachschaft Physik
211, Neufassung der Satzung der Studienfachschaft Informatik
211, Neufassung der Satzung der Studienfachschaft Mathematik
211, Konsensfähige Änderung der Organisationssatzung
211, Bericht: Vorsitzende der Verfassten Studierendenschaft
211, Bericht: Jana Seifert (Vorsitzende der VS)
211, Bericht: Beirat Radstrategie
211, Bericht: StuWe-Referat
211, Bericht: Queerreferat
211, Kandidatur für das Lehramtsreferat
211, Kandidatur für das Referat für Kultur und Sport
211, Kandidatur Referat für Ökologie und Nachhaltigkeit
211, Kandidatur Referat für Ökologie und Nachhaltigkeit
211, Kandidatur Queerreferat
211, Kandidatur Queerreferat
211, Kandidatur Queerreferat
211, Kandidatur Sozialreferat
211, Kandidatur Sozialreferat
211," Kandidatur SAL, stellvertretendes Mitglied"
211, Kandidatur Wahlkommission
211, Kandidatur Notlagenausschuss
211, Kandidatur Notlagenausschuss
211, Kandidatur Notlagenausschuss
211, Kandidatur Referat für internationales Studierende
211, Kandidatur QSM-Referat
211," Kandidatur SAL, stellvertretendes Mitglied"
211, Kandidatur Begleitkreis Radstrategie
211, Kandidatur Referat für Hochschulpolitische Vernetzung
211, Kandidatur für den Vorsitz der Verfassten Studierendenschaft männlich
211, Kandidatur für den Vorsitz der Verfassten Studierendenschaft nonbinär
211, Kandidatur für die Schlichtungskommission
211, Kandidatur für die Schlichtungskommission
211, Kandidatur für das Referat IT- und Infrastruktur
211, Satzung zur Benennung der studentischen Mitglieder im Fachrat Lehramt
211, Änderung der Wahlordnung
211, Beschluss einer Referateordnung
211, Änderungen der Finanzordnung
211, Beschluss der Finanzverwaltungsrichtlinie des StuRa
211, Änderungsantrag: Beschluss der Finanzverwaltungsrichtlinie des StuRa
211, Änderungsantrag zum Beschluss der Finanzverwaltungsrichtlinie
211, Konsultation des StuRa bezüglich der Lesung „Mein Kampf“ im Taeter-Theater
211, Positionierung: Cooler Merch für die VS
211, Änderungsantrag: Cooler Merch für die VS
211, Aufnahme einer Probe-Flatrate mit dem Museum Haus Cajeth
211, Positionierung: Gegen Beitragserhöhungen
211, Positionierung: Günstig mit nicht vorhandenem Bus und Bahn
211, GO-Antrag auf Nichtbefassung
211, Änderungsantrag zum Antrag „Positionierung: Günstig mit nicht vorhandenem Bus und Bahn“: Feststellung zum Deutschlandticket für Studierende erneuern
211, Änderungsantrag: 15.4. Positionierung: Günstig mit nicht vorhandenem Bus und Bahn
211, Positionierung: Mehr Digitalisierung für Fachschaften wagen
211, Positionierung: Positionierung des StuRa der Universität Heidelberg gegen die Wehrpflicht
211, Positionierung: Auch antislawischer Rassismus ist Rassismus!
211, Positionierung: Aufhebung der Ausführungsbestimmung des Finanzreferates gem. § 37 FinO Nr. 01/2025
211, Positionierung: Die Befreiung vom Faschismus verwirklichen: 8. Mai zum antifaschistischen Feiertag
211, Positionierung: Nein zur Zivilklausel!
211, Positionierung: Ja zur Zivilklausel!
211, Haushalt 2026
211, Änderung der Beitragsordnung zur Anpassung an den Nextbike-Vertrag
211, Verlängerung der Probeflatrate mit dem Völkerkundemuseum
211, Verlängerung der Probeflatrate mit dem Kurpfälzischen Museum
211, Verlängerung der Probe-Flatrate mit dem Taeter-Theater
211, Sonstiges
212, Begrüßung
212, Beschluss der Tagesordnung
212, Protokolle
212, Kandidatur für den Vorsitz der Verfassten Studierendenschaft männlich
212, Kandidatur für den Vorsitz der Verfassten Studierendenschaft nonbinär
212, Kandidatur Wahlkommission
212, Kandidatur Notlagenausschuss
212, Kandidatur Notlagenausschuss
212, Kandidatur Notlagenausschuss
212, Kandidatur Referat für internationales Studierende
212, Kandidatur QSM-Referat
212," Kandidatur SAL, stellvertretendes Mitglied"
212, Kandidatur Begleitkreis Radstrategie
212, Kandidatur Referat für Hochschulpolitische Vernetzung
212, Kandidatur für das Referat für Hochschulpolitische Vernetzung
212, Kandidatur für die Schlichtungskommission
212, Kandidatur für die Schlichtungskommission
212, Kandidatur für das Referat IT- und Infrastruktur
212, Kandidatur für die Prozessbegleitende AG zum Campus INF
212, Kandidatur für den Ordnungsausschuss der Universität
212, Kandidatur für den Ordnungsausschuss der Universität
212, Kandidatur für das Finanzreferat
212, Kandidatur für das Lehramtsreferat
212," Kandidatur für Senat: Kommission für die Vergabe der Deutschlandstipendien, stellvertretendes Mitglied"
212," Kandidatur für Senat: Kommission für die Marsilius-Studien, Mitglied"
212, Kandidatur für den Ordnungsausschuss der Universität Stellvertretung
212, Spontankandidatur: Senatsausschuss für Gleichstellungsangelegenheiten
212, Wahl: Lehramtsreferat
212, Wahl: Referat für Kultur und Sport
212, Wahl: Referat Ökologie und Nachhaltigkeit
212, Wahl: Queerreferat
212, Wahl: Sozialreferat
212," Wahl: SAL, stellvertretendes Mitglied"
212, Positionierung: Handhabung der Qualitätssicherungsmittel
212, Bericht: Vorsitzende der Verfassten Studierendenschaft
212, Bericht: Beirat Radstrategie
212, Bericht: Queerreferat
212, Bericht des Lehramtsreferats
212, Bericht LAK 2025-11-09
212, Bericht aus dem Präsidium
212, Bericht: Finanzreferat
