sitzung,titel
201, Kandidatur für den Senat
201, Kandidatur als stellvertretendes Mitglied der Vertretungsversammlung des StuWe
201, Kandidatur für den Notlagenausschuss
201, Kandidaturen für das AI-Board
201, Colin Fyock
201, Tobias Thaller
201, Jan Best
201, Anton Fortuin
201, Yagmur Yüzak
201, Simon Tebeck
201, Marius Baumann
201, Verabschiedung seiner hochwohlgeborenen Durchlauchtheit Herrn El Presidente Johannes Knop I.
201, Termin: Besuch der Rektorin am 15.07.
201, Änderung / Neufassung der Satzung der Studienfachschaft Medizin Mannheim der Universität Heidelberg
201, Satzungsänderung: Satzung der Studienfachschaft Mathematik
201, Satzungsänderung: Satzung der Studienfachschaft Physik
201, Satzungsänderung: Satzung der Studienfachschaft Informatik
201, „Für geordnete Arbeitsverhältnisse in der VS“
201," Änderungsanträge zulassen, inhaltliche Arbeit  ermöglichen!"
201, „Rechtssicherheit für Beitragsänderungen“
201, Neue Amtszeiten für den Vorsitz
201, Satzungsänderung: Bewirtungsfaschorichtlinie
201, Satzungsänderung: Konstruktive Debatten im StuRa zulassen
201, Satzungsänderung: CVE 1 (Wahlordnung)
201, Satzungsänderung: Geschäftsordnung des Studierendenrats
201, Änderungsantrag: Geschäftsordnungsänderung des Präsidiums
201," Wer wählt, der zählt! Positionierung für sich selbst"
201," Änderungsantrag: Wer wählt, der zählt! Positionierung für sich selbst"
201, „Mitgliedschaft im Bundesverband Promovierende e.V.“
201, Cooler Merch für die VS
201, Änderungsantrag zu Cooler Merch für die VS: der exekutive Cockblock
201, Aufnehmen von Lecktüchern in den Änderungsantrag
201, Antragsänderung Cooler Merch für die VS: Der StuRa rettet Leben
201, Kondome zu Samen! (zusamen)
201, Studierendenrat fordert konsequente Mülltrennung an der Universität
201, Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni-Gebäuden
201, Änderungsantrag zum Antrag „Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni Gebäuden“
201, Studierendenrat fordert 100% erneuerbar erzeugten Strom an der Universität
201, Studierendenrat fordert Interimslösung für den Marstall
201, Gründung AK Im Neuenheimer Feld
201, Änderungsantrag zum Antrag „Gründung AK Im Neuenheimer Feld“
201, Gründung eines Nachhaltigkeitsnetzwerk
201, Forderung nach einem Green Offices
201, Transparenz zur Nachhaltigkeitsstrategie
201, Der Studierendenrat fordert einen Boykott der Coca-Cola Company
201, Zum Sozialismus! Zur Koka Kola Freiheit!
201, Mehr Fahrradstellplätze
201, Ausweitung der Leistungen des Studierendenwerks
201, Stoppt die massive Preiserhöhung beim Cappuccino!
201, Wiederaufnahme der Probe-Flatrate mit dem Taeter-Theater
201, Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
201, Positionierung: Unterstützung des langfristigen Ziels rein pflanzlicher Verpflegung an der Universität Heidelberg
201, Positionierung: Forderung einer inklusiveren Mensa
201, Positionierung: Unterstützung Campusradio „radioaktiv“
201, Dringlichkeit
201, Positionierung: Verbot von zu heißem Verkehr
201, Positionierung: MLP aus dem TeM(L)Pel schmeißen!
201, Positionierung: Mehr Feld in die Feldmensa
201, „Raumnot bei den Colis (und vielleicht auch bei euch)“
201, Kritik an der Exekutive / zentralen VS
201, Diskussion Causa Lemmermeyer
201, Mitgliedschaft im Förderverein der Landesstudierendenvertretung Baden-Württemberg e.V.
